,date_eod,close,hilow,volume
1978,2005-05-13,1.39,1.395,542200
1979,2005-05-16,1.7,1.5499999999999998,1692700
1980,2005-05-17,1.97,1.83,3677100
1981,2005-05-18,1.9,1.9249999999999998,2408800
1982,2005-05-19,1.8,1.835,841800
1983,2005-05-20,2.05,1.9249999999999998,1831300
1984,2005-05-23,2.38,2.255,3855500
1985,2005-05-24,2.24,2.31,1865700
1986,2005-05-25,1.88,1.9249999999999998,2494500
1987,2005-05-26,1.9,1.9100000000000001,912000
1988,2005-05-27,1.84,1.855,995500
1989,2005-05-31,1.93,1.9,619200
1990,2005-06-01,2.08,2.075,1454200
1991,2005-06-02,2.04,2.065,784500
1992,2005-06-03,2.12,2.05,1109200
1993,2005-06-06,2.07,2.13,626700
1994,2005-06-07,2.15,2.185,1092300
1995,2005-06-08,2.15,2.13,569600
1996,2005-06-09,2.1,2.16,380000
1997,2005-06-10,2.28,2.19,780500
1998,2005-06-13,2.19,2.2249999999999996,738800
1999,2005-06-14,2.14,2.16,332300
2000,2005-06-15,2.13,2.1550000000000002,468900
2001,2005-06-16,2.09,2.1100000000000003,490100
2002,2005-06-17,2.1,2.03,1445600
2003,2005-06-20,2.01,2.01,471000
2004,2005-06-21,1.96,1.995,586700
2005,2005-06-22,1.91,1.96,574600
2006,2005-06-23,1.87,1.92,416600
2007,2005-06-24,1.82,1.85,561000
2008,2005-06-27,1.84,1.81,467800
2009,2005-06-28,1.78,1.815,647500
2010,2005-06-29,1.76,1.8050000000000002,559800
2011,2005-06-30,1.67,1.72,1056500
2012,2005-07-01,1.64,1.6600000000000001,599000
2013,2005-07-05,1.52,1.575,932400
2014,2005-07-06,1.51,1.545,425800
2015,2005-07-07,1.56,1.51,426400
2016,2005-07-08,1.87,1.7149999999999999,1723000
2017,2005-07-11,2.04,1.97,2163700
2018,2005-07-12,1.88,1.925,1421400
2019,2005-07-13,1.89,1.9,631300
2020,2005-07-14,1.9,1.93,472000
2021,2005-07-15,1.89,1.9049999999999998,267200
2022,2005-07-18,1.88,1.885,247100
2023,2005-07-19,1.89,1.895,451100
2024,2005-07-20,1.91,1.895,457400
2025,2005-07-21,2.02,1.9649999999999999,672600
2026,2005-07-22,2.03,2.0300000000000002,1349700
2027,2005-07-25,2.01,2.05,383000
2028,2005-07-26,1.94,1.9849999999999999,500500
2029,2005-07-27,1.98,1.9849999999999999,483100
2030,2005-07-28,1.96,1.95,410400
2031,2005-07-29,1.93,1.9699999999999998,233900
2032,2005-08-01,1.97,1.94,465600
2033,2005-08-02,1.97,1.9849999999999999,237500
2034,2005-08-03,1.98,1.97,165600
2035,2005-08-04,1.89,1.94,258200
2036,2005-08-05,1.84,1.835,587200
2037,2005-08-08,1.76,1.815,385100
2038,2005-08-09,1.83,1.81,276500
2039,2005-08-10,1.76,1.81,269700
2040,2005-08-11,1.78,1.795,173500
2041,2005-08-12,1.84,1.8050000000000002,219600
2042,2005-08-15,1.79,1.82,171800
2043,2005-08-16,1.8,1.82,262500
2044,2005-08-17,1.75,1.78,300000
2045,2005-08-18,1.74,1.745,261500
2046,2005-08-19,1.76,1.76,85700
2047,2005-08-22,1.79,1.75,246100
2048,2005-08-23,1.78,1.775,122900
2049,2005-08-24,1.8,1.7650000000000001,301600
2050,2005-08-25,2.02,1.885,1525200
2051,2005-08-26,1.97,1.96,727100
2052,2005-08-29,1.98,1.995,1298000
2053,2005-08-30,1.98,2.0,474700
2054,2005-08-31,1.9,1.95,542400
2055,2005-09-01,1.85,1.85,433900
2056,2005-09-02,1.86,1.895,211800
2057,2005-09-06,1.93,1.955,400700
2058,2005-09-07,1.97,1.9649999999999999,186100
2059,2005-09-08,2.07,2.055,753900
2060,2005-09-09,2.1,2.145,1315400
2061,2005-09-12,2.26,2.3049999999999997,3787800
2062,2005-09-13,2.19,2.215,1463800
2063,2005-09-14,2.23,2.23,558300
2064,2005-09-15,2.14,2.205,331100
2065,2005-09-16,2.0,2.09,790800
2066,2005-09-19,2.02,2.05,344900
2067,2005-09-20,2.1,2.105,546700
2068,2005-09-21,2.16,2.1799999999999997,928000
2069,2005-09-22,2.08,2.105,609900
2070,2005-09-23,2.01,2.065,487100
2071,2005-09-26,2.08,2.105,507600
2072,2005-09-27,2.01,2.065,682000
2073,2005-09-28,1.9,1.975,1115200
2074,2005-09-29,1.98,1.9449999999999998,353700
2075,2005-09-30,2.03,1.9899999999999998,492200
2076,2005-10-03,2.16,2.1550000000000002,1998500
2077,2005-10-04,2.09,2.145,528700
2078,2005-10-05,2.01,2.08,529600
2079,2005-10-06,1.98,2.0,388600
2080,2005-10-07,1.95,1.9849999999999999,303100
2081,2005-10-10,1.94,1.98,172900
2082,2005-10-11,1.86,1.925,489600
2083,2005-10-12,1.81,1.815,513200
2084,2005-10-13,1.86,1.8399999999999999,255800
2085,2005-10-14,1.89,1.88,250000
2086,2005-10-17,1.81,1.865,338000
2087,2005-10-18,1.67,1.75,1439700
2088,2005-10-19,1.78,1.725,439900
